DATE,HOLIDAY,WEEKDAY,WEATHERSIT,TEMP,ATEMP,HUMIDITY,WINDSPEED,CASUAL,REGISTERED
1/1/2011,NO,NO,2,11,11,81,17,331,654
1/2/2011,NO,NO,2,9,6.5,71.5,17,131,670
1/3/2011,NO,YES,1,1,4,44,18,120,1229
1/4/2011,NO,YES,1,2,2.5,64,9,108,1454
1/5/2011,NO,YES,1,2.5,1,42.5,13,82,1518
1/6/2011,NO,YES,1,2,2,52,6,88,1518
1/7/2011,NO,YES,2,1,3,47.5,11,148,1362
1/8/2011,NO,NO,2,1,5,51,17,68,891
1/9/2011,NO,NO,1,2,8.5,46,25,54,768
1/10/2011,NO,YES,1,2,6,50,15,41,1280
1/11/2011,NO,YES,2,1,3.5,57,7,43,1220
1/12/2011,NO,YES,1,1,5.5,55,22,25,1137
1/13/2011,NO,YES,1,2,7,48.5,20,38,1368
1/14/2011,NO,YES,1,2,3,54,8,54,1367
1/15/2011,NO,NO,2,3.5,3.5,52,12,222,1026
1/16/2011,NO,NO,1,2.5,2,49.5,15,251,953
1/17/2011,YES,YES,2,1,4,48,13,117,883
1/18/2011,NO,YES,2,1,3,87,14,9,674
1/19/2011,NO,YES,2,5.5,2.5,71.5,10,78,1572
1/20/2011,NO,YES,2,4,2,56,15,83,1844
1/21/2011,NO,YES,1,2,5,42,22,75,1468
1/22/2011,NO,NO,1,6.5,11,42,11,93,888
1/23/2011,NO,NO,1,4,10,42,15,150,836
1/24/2011,NO,YES,1,2.5,7,49,13,86,1330
1/25/2011,NO,YES,2,2,4,65,9,186,1799
1/26/2011,NO,YES,3,2,4,93,22,34,472
1/27/2011,NO,YES,1,1.5,2,70,12,15,416
1/28/2011,NO,YES,2,1,2,80,7,38,1129
1/29/2011,NO,NO,1,1,2.5,64,9,123,975
1/30/2011,NO,NO,1,3,2,70,0,140,956
1/31/2011,NO,YES,2,1,4,59,13,42,1459
2/1/2011,NO,YES,2,2,1,86.5,0,47,1313
2/2/2011,NO,YES,2,2.5,2.5,93,16,72,1454
2/3/2011,NO,YES,1,1,4.5,44,20,61,1489
2/4/2011,NO,YES,2,3,1.5,59,9,88,1620
2/5/2011,NO,NO,2,2,1,100,10,100,905
2/6/2011,NO,NO,1,4.5,3,61,7,354,1269
2/7/2011,NO,YES,1,5,5,75,0,120,1592
2/8/2011,NO,YES,1,3,4,40,27,64,1466
2/9/2011,NO,YES,2,2,6,44,12,53,1552
2/10/2011,NO,YES,1,2,5.5,41.5,15,47,1491
2/11/2011,NO,YES,1,4,4,59,6,149,1597
2/12/2011,NO,NO,1,3.5,2,43.5,10,288,1184
2/13/2011,NO,NO,1,9.5,6,36,20,397,1192
2/14/2011,NO,YES,1,10,6,40.5,29,208,1705
2/15/2011,NO,YES,1,4,3.5,32,17,140,1675
2/16/2011,NO,YES,1,8,5.5,44,15,218,1897
2/17/2011,NO,YES,1,13.5,13.5,54.5,15,259,2216
2/18/2011,NO,YES,1,15.5,15.5,51,16,579,2348
2/19/2011,NO,NO,1,11,11,17,35,532,1103
2/20/2011,NO,NO,1,6,4,42.5,11,639,1173
2/21/2011,YES,YES,2,7,5,66,20,195,912
2/22/2011,NO,YES,1,2,6,60,17,74,1376
2/23/2011,NO,YES,1,3,6,48,6,139,1778
2/24/2011,NO,YES,2,7,4,70,19,100,1707
2/25/2011,NO,YES,2,7,6,60,24,120,1341
2/26/2011,NO,NO,1,5,3,56,14,424,1545
2/27/2011,NO,NO,1,9,8,62,9,694,1708
2/28/2011,NO,YES,2,10,8,93,19.5,81,1365
3/1/2011,NO,YES,1,3.5,4,58,14,137,1714
3/2/2011,NO,YES,1,6.5,3.5,37,19.5,231,1903
3/3/2011,NO,YES,1,1.5,3,34,13,123,1562
3/4/2011,NO,YES,2,5.5,4,67.5,13,214,1730
3/5/2011,NO,NO,2,12,12,77,19.5,640,1437
3/6/2011,NO,NO,2,11.5,11.5,100,21,114,491
3/7/2011,NO,YES,1,4,4,48,26,244,1628
3/8/2011,NO,YES,1,6,3,45.5,8,316,1817
3/9/2011,NO,YES,2,7,3,76,17,191,1700
3/10/2011,NO,YES,3,10.5,9.5,100,17,46,577
3/11/2011,NO,YES,2,7,4,57,17,247,1730
3/12/2011,NO,NO,1,8.5,5.5,63.5,13,724,1408
3/13/2011,NO,NO,1,9.5,8.5,53.5,20,982,1435
3/14/2011,NO,YES,1,7.5,5.5,47.5,9,359,1687
3/15/2011,NO,YES,2,7,5,68,13,289,1767
3/16/2011,NO,YES,2,9,8,82,13,321,1871
3/17/2011,NO,YES,1,12,12,63,15,424,2320
3/18/2011,NO,YES,1,19,19,52,15,884,2355
3/19/2011,NO,NO,1,14,14,38,25,1424,1693
3/20/2011,NO,NO,1,8,5,51.5,15,1047,1424
3/21/2011,NO,YES,2,12.5,12.5,74.5,19.5,401,1676
3/22/2011,NO,YES,1,13,13,56.5,16,460,2243
3/23/2011,NO,YES,2,8,5,87,15,203,1918
3/24/2011,NO,YES,2,5.5,2,76,15,166,1699
3/25/2011,NO,YES,1,4.5,3,44,17,300,1910
3/26/2011,NO,NO,1,4,2,42,13,981,1515
3/27/2011,NO,NO,2,4,3,45,12,472,1221
3/28/2011,NO,YES,1,4,3,26,15,222,1806
3/29/2011,NO,YES,1,7.5,4.5,28,17,317,2108
3/30/2011,NO,YES,2,7,5,57,15,168,1368
3/31/2011,NO,YES,3,4.5,1.5,93,15,179,1506
4/1/2011,NO,YES,2,7,4,61,17,307,1920
4/2/2011,NO,NO,2,7,4.5,65.5,11,898,1354
4/3/2011,NO,NO,1,11,11,44,13,1651,1598
4/4/2011,NO,YES,1,22,21.5,43,25,734,2381
4/5/2011,NO,YES,2,10,6,60,28,167,1628
4/6/2011,NO,YES,1,12.5,12.5,41,18,413,2395
4/7/2011,NO,YES,1,12,12,63,13,571,2570
4/8/2011,NO,YES,2,8,6,87,15,172,1299
4/9/2011,NO,NO,2,9,8,87,9,879,1576
4/10/2011,NO,NO,2,11.5,11.5,88,9,1188,1707
4/11/2011,NO,YES,2,20.5,20.5,73,19.5,855,2493
4/12/2011,NO,YES,2,16,16,77,19,257,1777
4/13/2011,NO,YES,2,11.5,11.5,85,17,209,1953
4/14/2011,NO,YES,1,14,14,55,9,529,2738
4/15/2011,YES,YES,1,13,13,67,17,642,2484
4/16/2011,NO,NO,3,12,12,88,22,121,674
4/17/2011,NO,NO,1,13.5,13.5,43,22,1558,2186
4/18/2011,NO,YES,1,17,17,49,11,669,2760
4/19/2011,NO,YES,2,16,16,67.5,11,409,2795
4/20/2011,NO,YES,1,22,22,54.5,17,613,3331
4/21/2011,NO,YES,1,13.5,13.5,42.5,23,745,3444
4/22/2011,NO,YES,2,8,5,66,15,177,1506
4/23/2011,NO,NO,2,14,14,88,15,1462,2574
4/24/2011,NO,NO,2,19,19,83,13,1710,2481
4/25/2011,NO,YES,1,21,21,74,15,773,3300
4/26/2011,NO,YES,1,22.5,22.5,74,22,678,3722
4/27/2011,NO,YES,2,22,22,83,19,547,3325
4/28/2011,NO,YES,2,22,22,78,22,569,3489
4/29/2011,NO,YES,1,17,17,45,19,878,3717
4/30/2011,NO,NO,1,13,13,54,15,1965,3347
5/1/2011,NO,NO,2,14,14,77,7,1138,2213
5/2/2011,NO,YES,2,19.5,19.5,73,13,847,3554
5/3/2011,NO,YES,2,22,22,66.5,23,603,3848
5/4/2011,NO,YES,2,11,11,74.5,22,255,2378
5/5/2011,NO,YES,1,15.5,15.5,39,17,614,3819
5/6/2011,NO,YES,1,14,14,62,11,894,3714
5/7/2011,NO,NO,1,18,18,49,11,1612,3102
5/8/2011,NO,NO,1,17,17,63,6,1401,2932
5/9/2011,NO,YES,1,17.5,17.5,56,13,664,3698
5/10/2011,NO,YES,1,17.5,17.5,52,8,694,4109
5/11/2011,NO,YES,1,17.5,17.5,61.5,9,550,3632
5/12/2011,NO,YES,1,18,18,78,13,695,4169
5/13/2011,NO,YES,2,17,17,88,11,692,3413
5/14/2011,NO,NO,2,17,17,94,9,902,2507
5/15/2011,NO,NO,2,18.5,18.5,85.5,9,1582,2971
5/16/2011,NO,YES,1,19.5,19.5,83,9,773,3185
5/17/2011,NO,YES,2,19,19,88,20,678,3445
5/18/2011,NO,YES,2,18,18,88,15,536,3319
5/19/2011,NO,YES,2,17.5,17.5,88,6.5,735,3840
5/20/2011,NO,YES,1,18.5,18.5,66,7,909,4008
5/21/2011,NO,NO,1,21.5,21.5,62.5,8,2258,3547
5/22/2011,NO,NO,1,22,22,71,9,1576,3084
5/23/2011,NO,YES,2,22,23,88,15,836,3438
5/24/2011,NO,YES,2,23.5,23.5,74,13,659,3833
5/25/2011,NO,YES,1,24.5,24.5,67,9,740,4238
5/26/2011,NO,YES,1,26.5,27.5,65.5,12,758,3919
5/27/2011,NO,YES,1,25,25,65,17,871,3808
5/28/2011,NO,NO,1,24,24,74,15,2001,2757
5/29/2011,NO,NO,1,24,25,83,15,2355,2433
5/30/2011,YES,YES,1,27,29,70,7,1549,2549
5/31/2011,NO,YES,1,30,33,60.5,8,673,3309
6/1/2011,NO,YES,2,28,31,74,13,513,3461
6/2/2011,NO,YES,1,27,26,29.5,20,736,4232
6/3/2011,NO,YES,1,22,21,34.5,19,898,4414
6/4/2011,NO,NO,1,23,23,46.5,7,1869,3473
6/5/2011,NO,NO,2,23,23,65,11,1685,3221
6/6/2011,NO,YES,1,24.5,24.5,59.5,9,673,3875
6/7/2011,NO,YES,1,27,28.5,59.5,12,763,4070
6/8/2011,NO,YES,1,31,34,62,9,676,3725
6/9/2011,NO,YES,2,30,32.5,50,10,563,3352
6/10/2011,NO,YES,1,29,30.5,60.5,9,815,3771
6/11/2011,NO,NO,1,26.5,28,62,10,1729,3237
6/12/2011,NO,NO,1,24.5,25.5,78,11,1467,2993
6/13/2011,NO,YES,1,23,22.5,45.5,20,863,4157
6/14/2011,NO,YES,1,21,21,50,18,727,4164
6/15/2011,NO,YES,1,22.5,22.5,48.5,11,769,4411
6/16/2011,NO,YES,2,22,22,68,13,545,3222
6/17/2011,NO,YES,1,22.5,23,83,9,863,3981
6/18/2011,NO,NO,1,27,28,62,8,1807,3312
6/19/2011,NO,NO,2,26,27,67.5,7,1639,3105
6/20/2011,NO,YES,2,23,23,78,11,699,3311
6/21/2011,NO,YES,2,25,26,78,11,774,4061
6/22/2011,NO,YES,1,27.5,30.5,76,12,661,3846
6/23/2011,NO,YES,2,27,29,70,15,746,4044
6/24/2011,NO,YES,1,26.5,27,48,15,969,4022
6/25/2011,NO,NO,1,26,26,48,13,1782,3420
6/26/2011,NO,NO,1,26,26,52,7,1920,3385
6/27/2011,NO,YES,2,26,27,65,9,854,3854
6/28/2011,NO,YES,1,28,29.5,68,11,732,3916
6/29/2011,NO,YES,1,27,27,42,18,848,4377
6/30/2011,NO,YES,1,26,26,42,13,1027,4488
7/1/2011,NO,YES,1,26,26,42,9,1246,4116
7/2/2011,NO,NO,1,28,28.5,47.5,7,2204,2915
7/3/2011,NO,NO,2,25.5,26.5,70,12,2282,2367
7/4/2011,YES,YES,2,28,30,62,6,3065,2978
7/5/2011,NO,YES,1,29,30,62,7,1031,3634
7/6/2011,NO,YES,1,27,29,74,11,784,3845
7/7/2011,NO,YES,1,28,30.5,62,11,754,3838
7/8/2011,NO,YES,2,26,27,78.5,15,692,3348
7/9/2011,NO,NO,1,28,29,58,11,1988,3348
7/10/2011,NO,NO,1,28,30,61,13,1743,3138
7/11/2011,NO,YES,1,27.5,29.5,61,19,723,3363
7/12/2011,NO,YES,1,31,32,52,13,662,3596
7/13/2011,NO,YES,1,28,29,58,11,748,3594
7/14/2011,NO,YES,1,24.5,24.5,48.5,17,888,4196
7/15/2011,NO,YES,1,24,24,55.5,13,1318,4220
7/16/2011,NO,NO,1,26,27,56,15,2418,3505
7/17/2011,NO,NO,1,27.5,29,60,15,2006,3296
7/18/2011,NO,YES,1,28.5,30.5,66,15,841,3617
7/19/2011,NO,YES,1,29,33,66,9,752,3789
7/20/2011,NO,YES,1,29,34,70,7,644,3688
7/21/2011,NO,YES,2,32,41,71,15,632,3152
7/22/2011,NO,YES,1,33,38,57.5,7,562,2825
7/23/2011,NO,NO,1,32,36,52,9,987,2298
7/24/2011,NO,NO,1,32,36,55,10,1050,2556
7/25/2011,NO,YES,1,28,31,79,6,568,3272
7/26/2011,NO,YES,1,29.5,30.5,47.5,15,750,3840
7/27/2011,NO,YES,1,29.5,29.5,43.5,14,755,3901
7/28/2011,NO,YES,1,30,34,56,13,606,3784
7/29/2011,NO,YES,1,33,35.5,46.5,13,670,3176
7/30/2011,NO,NO,1,30.5,32,47.5,11,1559,2916
7/31/2011,NO,NO,1,30,32,55,11,1524,2778
8/1/2011,NO,YES,1,28,29,56.5,12,729,3537
8/2/2011,NO,YES,1,31,32,47.5,15,801,4044
8/3/2011,NO,YES,2,28,29,58,9,467,3107
8/4/2011,NO,YES,2,26,27,74,14,799,3777
8/5/2011,NO,YES,1,26,27,65,15,1023,3843
8/6/2011,NO,NO,2,27,30,78,15,1521,2773
8/7/2011,NO,NO,1,27,29,84,13,1298,2487
8/8/2011,NO,YES,1,29,31,56.5,10,846,3480
8/9/2011,NO,YES,1,30,30.5,57,11,907,3695
8/10/2011,NO,YES,1,29,29,39,14,884,3896
8/11/2011,NO,YES,1,26.5,26.5,42,11,812,3980
8/12/2011,NO,YES,1,26.5,26.5,42,9,1051,3854
8/13/2011,NO,NO,2,25,26,74,13,1504,2646
8/14/2011,NO,NO,2,24,25,83.5,14,1338,2482
8/15/2011,NO,YES,1,24,24,69,15,775,3563
8/16/2011,NO,YES,1,26,27,58,16,721,4004
8/17/2011,NO,YES,1,27.5,28,56.5,11,668,4026
8/18/2011,NO,YES,1,25,25.5,67.5,17,639,3166
8/19/2011,NO,YES,2,23.5,24.5,80.5,6,797,3356
8/20/2011,NO,NO,1,26.5,27.5,67,9,1914,3277
8/21/2011,NO,NO,1,26,28,79,17,1249,2624
8/22/2011,NO,YES,1,25.5,26,39.5,20,833,3925
8/23/2011,NO,YES,1,22.5,22.5,49.5,12,1281,4614
8/24/2011,NO,YES,1,26,27,59,20,949,4181
8/25/2011,NO,YES,2,25,25,78,20,435,3107
8/26/2011,NO,YES,1,27,30,79,7,768,3893
8/27/2011,NO,NO,2,24,25,84,29.5,226,889
8/28/2011,NO,NO,1,24,24,65,26,1415,2919
8/29/2011,NO,YES,1,22.5,22.5,53,11,729,3905
8/30/2011,NO,YES,1,23.5,23.5,53.5,9,775,4429
8/31/2011,NO,YES,1,24,24,61,6,688,4370
9/1/2011,NO,YES,1,24,24,59.5,9,783,4332
9/2/2011,NO,YES,2,23,23,74,9,875,3852
9/3/2011,NO,NO,1,24,24.5,70,11,1935,2549
9/4/2011,NO,NO,1,27,29,74,13,2521,2419
9/5/2011,YES,YES,2,24.5,25,76,11,1236,2115
9/6/2011,NO,YES,3,18,18,88,24,204,2506
9/7/2011,NO,YES,3,21,21,94,7,118,1878
9/8/2011,NO,YES,3,22,23,94,11,153,1689
9/9/2011,NO,YES,2,22,23,94,9,417,3127
9/10/2011,NO,NO,1,23,23,78,9,1750,3595
9/11/2011,NO,NO,1,23,23,73,7,1633,3413
9/12/2011,NO,YES,1,23,23,71.5,6,690,4023
9/13/2011,NO,YES,1,23,23,76,9,701,4062
9/14/2011,NO,YES,1,24,24,69.5,10,647,4138
9/15/2011,NO,YES,2,21.5,21.5,69,18,428,3231
9/16/2011,NO,YES,2,16,16,57,12,742,4018
9/17/2011,NO,NO,2,16,16,72,13,1434,3077
9/18/2011,NO,NO,1,17.5,17.5,68,13,1353,2921
9/19/2011,NO,YES,2,19,19,68,11,691,3848
9/20/2011,NO,YES,2,19,19,88,11,438,3203
9/21/2011,NO,YES,2,21.5,21.5,94,6.5,539,3813
9/22/2011,NO,YES,2,22,23,94,7,555,4240
9/23/2011,NO,YES,2,22,23,94,6,258,2137
9/24/2011,NO,NO,2,22,22,88,6,1776,3647
9/25/2011,NO,NO,2,22.5,23,85.5,3,1544,3466
9/26/2011,NO,YES,2,23,24,88,9,684,3946
9/27/2011,NO,YES,2,22.5,23.5,89,7,477,3643
9/28/2011,NO,YES,2,21,21,88,8,480,3427
9/29/2011,NO,YES,1,21,21,66.5,13,653,4186
9/30/2011,NO,YES,1,18,18,57,13,830,4372
10/1/2011,NO,NO,2,11,11,77,22,480,1949
10/2/2011,NO,NO,2,9,6,82,15,616,2302
10/3/2011,NO,YES,2,11,11,77,7,330,3240
10/4/2011,NO,YES,1,15.5,15.5,70,15,486,3970
10/5/2011,NO,YES,1,17,17,68.5,11,559,4267
10/6/2011,NO,YES,1,15.5,15.5,63,9,639,4126
10/7/2011,NO,YES,1,16,16,68,0,949,4036
10/8/2011,NO,NO,1,16.5,16.5,77,0,2235,3174
10/9/2011,NO,NO,1,17.5,17.5,80,6,2397,3114
10/10/2011,YES,YES,1,19,19,80.5,0,1514,3603
10/11/2011,NO,YES,2,20,20,83,10,667,3896
10/12/2011,NO,YES,3,18,18,91,17,217,2199
10/13/2011,NO,YES,2,20,20,88,9,290,2623
10/14/2011,NO,YES,2,19,19,88,13,529,3115
10/15/2011,NO,NO,1,16,16,47,14,1899,3318
10/16/2011,NO,NO,1,18,18,49,18,1748,3293
10/17/2011,NO,YES,1,18,18,55.5,11,713,3857
10/18/2011,NO,YES,2,17.5,17.5,72.5,7,637,4111
10/19/2011,NO,YES,3,17.5,17.5,94,13,254,2170
10/20/2011,NO,YES,1,15,15,58,28,471,3724
10/21/2011,NO,YES,1,12,12,56.5,15,676,3628
10/22/2011,NO,NO,1,11.5,11.5,63,6,1499,2809
10/23/2011,NO,NO,1,12,12,77,7,1619,2762
10/24/2011,NO,YES,1,14,14,82,7,699,3488
10/25/2011,NO,YES,1,14,14,67.5,9,695,3992
10/26/2011,NO,YES,2,15.5,15.5,72,11,404,3490
10/27/2011,NO,YES,2,15,15,85.5,10,240,2419
10/28/2011,NO,YES,2,7.5,5,61,16,456,3291
10/29/2011,NO,NO,3,4,1.5,87,24,57,570
10/30/2011,NO,NO,1,6.5,6,66,14,885,2446
10/31/2011,NO,YES,1,8,6,76,8,362,3307
11/1/2011,NO,YES,1,10,10,71.5,10,410,3658
11/2/2011,NO,YES,1,9.5,8.5,74,6.5,370,3816
11/3/2011,NO,YES,1,11,11,76,9,318,3656
11/4/2011,NO,YES,2,11,11,61,22,470,3576
11/5/2011,NO,NO,1,7,5,53,15,1156,2770
11/6/2011,NO,NO,1,9,8,78.5,6,952,2697
11/7/2011,NO,YES,1,9,8,84.5,6,373,3662
11/8/2011,NO,YES,1,10,10,79.5,6,376,3829
11/9/2011,NO,YES,1,11,11,87,0,305,3804
11/10/2011,NO,YES,2,9,7,82,15,190,2743
11/11/2011,YES,YES,1,7,4,43,20.5,440,2928
11/12/2011,NO,NO,1,11,11,58,15,1275,2792
11/13/2011,NO,NO,1,14,14,44,20,1004,2713
11/14/2011,NO,YES,1,19,19,61.5,20,595,3891
11/15/2011,NO,YES,2,18,18,68,12,449,3746
11/16/2011,NO,YES,3,14,14,94,9,145,1672
11/17/2011,NO,YES,2,8,4,52,20,139,2914
11/18/2011,NO,YES,1,4,2,43,11,245,3147
11/19/2011,NO,NO,1,9,7.5,52.5,17,943,2720
11/20/2011,NO,NO,2,14,14,67,13,787,2733
11/21/2011,NO,YES,3,13,13,94,10,220,2545
11/22/2011,NO,YES,3,11.5,11.5,94,7,69,1538
11/23/2011,NO,YES,2,13,13,66.5,26,112,2454
11/24/2011,YES,YES,1,9,7,61,10,560,935
11/25/2011,NO,YES,1,8.5,7.5,71,7,1095,1697
11/26/2011,NO,NO,1,9.5,9.5,76,6,1249,1819
11/27/2011,NO,NO,1,15,15,72,17,810,2261
11/28/2011,NO,YES,1,17,17,77.5,9,253,3614
11/29/2011,NO,YES,2,12,12,83,20,96,2818
11/30/2011,NO,YES,1,7,4,57,19,188,3425
12/1/2011,NO,YES,1,6,4,56,15,182,3545
12/2/2011,NO,YES,1,7,5,58,6,268,3672
12/3/2011,NO,NO,1,6,4.5,63.5,6,706,2908
12/4/2011,NO,NO,1,8,7,81,7,634,2851
12/5/2011,NO,YES,2,12,12,87,6,233,3578
12/6/2011,NO,YES,3,14,14,100,15,126,2468
12/7/2011,NO,YES,3,13,13,100,16,50,655
12/8/2011,NO,YES,1,4,2,56,15,150,3172
12/9/2011,NO,YES,1,5.5,4.5,73,6,261,3359
12/10/2011,NO,NO,1,4,2,49.5,15,502,2688
12/11/2011,NO,NO,1,2,3,56,0,377,2366
12/12/2011,NO,YES,1,3.5,4,70,6,143,3167
12/13/2011,NO,YES,1,6,4,53,11,155,3368
12/14/2011,NO,YES,2,7,6,66,6,178,3562
12/15/2011,NO,YES,2,14,14,63.5,19,181,3528
12/16/2011,NO,YES,2,8,5,46,18,178,3399
12/17/2011,NO,NO,2,4,1,56,16,275,2464
12/18/2011,NO,NO,1,2,1.5,60,11,220,2211
12/19/2011,NO,YES,1,7,5,59.5,11,260,3143
12/20/2011,NO,YES,2,9.5,9,60.5,0,216,3534
12/21/2011,NO,YES,2,13,13,88,17,107,2553
12/22/2011,NO,YES,2,13,13,82,0,227,2841
12/23/2011,NO,YES,1,10,8,66,17,163,2046
12/24/2011,NO,NO,1,6,4,54.5,11,155,856
12/25/2011,NO,NO,1,4.5,2,70.5,10,303,451
12/26/2011,YES,YES,1,8,5,46,16,430,887
12/27/2011,NO,YES,2,7,5.5,81.5,9,103,1059
12/28/2011,NO,YES,1,7,3,46,17,255,2047
12/29/2011,NO,YES,1,4.5,3,58.5,8,254,2169
12/30/2011,NO,YES,1,8,5,66,7,491,2508
12/31/2011,NO,NO,1,11,11,62,13,665,1820
1/1/2012,NO,NO,1,11,11,65,17,686,1608
1/2/2012,YES,YES,1,4,2,36.5,21,244,1707
1/3/2012,NO,YES,1,2,8,42.5,24,89,2147
1/4/2012,NO,YES,2,2,7,42.5,13,95,2273
1/5/2012,NO,YES,1,3.5,2,56,6,140,3132
